いち, いつ	一	One	kanji	いち:on, いつ:on, ひと:kun, かず:nan
に	二	Two	kanji	に:on, ふた:kun
く, きゅう	九	Nine	kanji	く:on, きゅう:on, ここの:kun
しち	七	Seven	kanji	しち:on, なな:kun, なの:kun
にん, じん	人	Person	kanji	にん:on, じん:on, ひと:kun, と:kun
にゅう	入	Enter	kanji	にゅう:on, はい:kun, い:kun
はち	八	Eight	kanji	はち:on, や:kun, よう:kun
りょく, りき	力	Power	kanji	りょく:on, りき:on, ちから:kun
じゅう	十	Ten	kanji	じゅう:on, とお:kun
さん	三	Three	kanji	さん:on, み:kun
じょう	上	Above	kanji	じょう:on, うえ:kun, あ:kun, のぼ:kun, うわ:kun, かみ:kun
か, げ	下	Below	kanji	か:on, げ:on, した:kun, さ:kun, くだ:kun, お:kun, しも:kun, もと:kun
こう, く	口	Mouth	kanji	こう:on, く:on, くち:kun
たい, だい	大	Big	kanji	たい:on, だい:on, おお:kun, ひろ:nan
じょ, にょ, にょう	女	Woman	kanji	じょ:on, にょ:on, にょう:on, おんな:kun, め:kun
さん	山	Mountain	kanji	さん:on, やま:kun
かわ	川	River	kanji	かわ:kun, せん:on
こう, く	工	Construction	kanji	こう:on, く:on
とう	刀	Sword	kanji	とう:on, かたな:kun
ど	土	Dirt	kanji	ど:on, と:on, つち:kun
せん	千	Thousand	kanji	せん:on, ち:kun
ゆう	夕	Evening	kanji	ゆう:kun, せき:on
し, す	子	Child	kanji	し:on, す:on, こ:kun
しょう	小	Small	kanji	しょう:on, ちい:kun, こ:kun, お:kun
ちょう	丁	Street	kanji	ちょう:on, てい:on
りょう	了	Finish	kanji	りょう:on
まる	丸	Circle	kanji	まる:kun, がん:on
さい	才	Genius	kanji	さい:on
ちゅう	中	Middle	kanji	ちゅう:on, なか:kun
ご	五	Five	kanji	ご:on, いつ:kun
ろく	六	Six	kanji	ろく:on, む:kun
えん	円	Yen	kanji	えん:on, まる:kun
てん	天	Heaven	kanji	てん:on, あま:kun
て	手	Hand	kanji	て:kun, しゅ:on, ず:on
ぶん, もん	文	Writing	kanji	ぶん:on, もん:on, ふみ:kun
にち, じつ	日	Sun	kanji	にち:on, じつ:on, ひ:kun, か:kun, び:kun
げつ, がつ	月	Moon	kanji	げつ:on, がつ:on, つき:kun
もく, ぼく	木	Tree	kanji	もく:on, ぼく:on, き:kun, こ:kun
すい	水	Water	kanji	すい:on, みず:kun
か	火	Fire	kanji	か:on, ひ:kun, ほ:kun
いぬ	犬	Dog	kanji	いぬ:kun, けん:on
おう	王	King	kanji	おう:on
しゅつ	出	Exit	kanji	しゅつ:on, で:kun, だ:kun
ゆう, う	右	Right	kanji	ゆう:on, う:on, みぎ:kun
し	四	Four	kanji	し:on, よん:kun, よ:kun
さ	左	Left	kanji	さ:on, ひだり:kun
ほん	本	Book	kanji	ほん:on, もと:kun
せい, しょう	正	Correct	kanji	せい:on, しょう:on, ただ:kun, まさ:kun
たま	玉	Ball	kanji	たま:kun, ぎょく:on
た	田	Rice Paddy	kanji	た:kun, でん:on
はく	白	White	kanji	はく:on, しろ:kun, しら:kun
め	目	Eye	kanji	め:kun, もく:on
せき	石	Stone	kanji	せき:on, いし:kun
りつ, りゅう	立	Stand	kanji	りつ:on, りゅう:on, た:kun
まん, ばん	万	Ten Thousand	kanji	まん:on, ばん:on
こん	今	Now	kanji	こん:on, いま:kun
げん, がん	元	Origin	kanji	げん:on, がん:on, もと:kun
ない	内	Inside	kanji	ない:on, うち:kun
ぶん, ふん, ぶ	分	Part	kanji	ぶん:on, ふん:on, ぶ:on, わ:kun
せつ	切	Cut	kanji	せつ:on, き:kun
ご	午	Noon	kanji	ご:on
ゆう	友	Friend	kanji	ゆう:on, とも:kun
たい, た	太	Fat	kanji	たい:on, た:on, ふと:kun, おお:nan
